deal_name,deal_stage,amount,deal_owner,close_date,priority
Website Revamp Atlas Corp,Presentation Scheduled,12500,Jane Cooper,2025-04-08,High
Mobile App for FitBuddy,Qualified to Buy,25000,Wade Warren,2025-04-08,High
HR Software License ZenoHR,Contract Sent,18750,Brooklyn Simmons,2025-04-08,Medium
CRM Onboarding NexTech,Closed Won,32000,Leslie Alexander,2025-04-08,High
Marketing Suite QuickAdz,Appointment Scheduled,14800,Jenny Wilson,2025-04-08,Low
Inventory Tool GreenMart,Decision Maker Bought In,9300,Guy Hawkins,2025-04-08,Medium
ERP Integration BlueChip,Qualified to Buy,41000,Robert Fox,2025-04-09,High
Loyalty Program FoodleFox,Closed Lost,11000,Cameron Williamson,2025-04-09,Low
Cloud Migration TechNova,Contract Sent,28000,Jane Cooper,2025-04-09,High
AI Dashboard SmartCorp,Presentation Scheduled,19500,Wade Warren,2025-04-09,Medium
SEO Package GrowthHub,Closed Won,7800,Brooklyn Simmons,2025-04-09,Low
Data Analytics InfoPeak,Qualified to Buy,33000,Leslie Alexander,2025-04-09,High
Payment Gateway PayEase,Appointment Scheduled,15200,Jenny Wilson,2025-04-10,Medium
Chatbot Setup BotWave,Decision Maker Bought In,8900,Guy Hawkins,2025-04-10,Low
CRM Training LearnSoft,Contract Sent,22000,Robert Fox,2025-04-10,Medium
Email Marketing MailPro,Closed Won,17500,Cameron Williamson,2025-04-10,High
Social Media BrandBoost,Presentation Scheduled,12000,Jane Cooper,2025-04-10,Medium
IT Support TechCare,Closed Lost,9500,Wade Warren,2025-04-10,Low
